조사기관,조사의뢰,조사시작,조사끝,표본크기,박원순,정몽준,무응답
(주)포커스컴퍼니,CBS 기독교방송 ,20140324,20140325,940.00,39.00,40.40,20.60
(주)글로벌리서치,김황식 예비 후보자 ,20140406,20140406,1000.00,49.30,43.30,7.40
한국갤럽조사연구소,김황식 서울시장 예비후보 ,20140430,20140430,1007.00,50.50,37.90,11.60
(주) 메트릭스코퍼레이션,매일경제,20140503,20140505,600.00,49.30,37.00,13.70
(주)포커스컴퍼니,CBS 기독교방송,20140504,20140505,684.00,44.60,28.90,26.50
중앙일보 조사연구팀,중앙일보,20140505,20140505,800.00,45.60,39.20,13.50
(주)밀워드브라운미디어리서치,조선일보,20140512,20140513,537.00,53.30,32.90,13.80
(주)현대리서치연구소,JTBC,20140409,20140412,1096.00,40.00,34.90,21.60
(주)현대리서치연구소,JTBC,20140509,20140512,1084.00,45.80,30.50,21.90
(주)코리아리서치센터,한국일보 ,20140513,20140514,704.00,52.90,32.50,13.60
중앙일보 조사연구팀,중앙일보,20140513,20140513,800.00,47.40,37.70,14.50
(주)리서치앤리서치,동아일보,20140513,20140513,702.00,48.40,34.90,13.70
(주)현대리서치연구소,JTBC,20140514,20140517,1181.00,44.80,31.70,22.60
리얼미터,MBN,20140517,20140517,637.00,50.70,41.00,7.80
(주)밀워드브라운미디어리서치,KBS/MBC/SBS,20140517,20140519,1014.00,51.00,35.40,12.10
(주)한국리서치,"내일신문, 서강대학교 현대정치연구소",20140516,20140520,501.00,46.50,28.00,1.20
중앙일보 조사연구팀,중앙일보,20140520,20140521,800.00,53.50,34.40,11.90
조원씨앤아이,일요신문 ,20140522,20140523,975.00,50.00,44.90,4.20
마크로밀엠브레인,YTN,20140523,20140524,738.00,44.30,29.90,24.70
주식회사 아이디인큐(오픈서베이),JTBC,20140522,20140523,1278.00,47.50,28.40,22.90
(주) 메트릭스코퍼레이션,매일경제,20140523,20140525,600.00,50.60,31.20,17.10
(주)포커스컴퍼니,CBS 기독교방송,20140524,20140526,1000.00,39.00,29.00,29.70
(주)리서치앤리서치,동아일보,20140526,20140527,1003.00,50.50,39.60,9.00
에이스리서치,서울신문,20140525,20140526,600.00,45.50,32.70,20.50
(주)코리아리서치센터,한국일보,20140526,20140527,704.00,53.10,35.30,11.10
(주)리서치앤리서치,MBC/SBS,20140526,20140528,802.00,48.70,34.90,18.00
(주)한국리서치,한국경제,20140527,20140528,1000.00,52.40,34.70,11.50
(주)밀워드브라운미디어리서치,조선일보,20140527,20140528,511.00,50.80,32.00,16.70
(주)글로벌리서치,국민일보,20140527,20140528,559.00,44.10,33.40,21.80
주식회사 아이디인큐(오픈서베이),JTBC,20140527,20140528,1283.00,47.80,30.60,20.50
리서치뷰,"인터넷신문 뷰앤폴, 인터넷방송 팩트TV",20140528,20140528,1139.00,47.60,49.50,1.80